Year,Sex,Population
1610,male,175
1610,female,175
1620,male,1174
1620,female,1128
1630,male,2509
1630,female,2137
1640,male,12784
1640,female,13850
1650,male,27199
1650,female,23169
1660,male,41282
1660,female,33776
1670,male,54848
1670,female,57087
1680,male,83329
1680,female,68178
1690,male,94667
1690,female,115705
1700,male,112900
1700,female,137988
1710,male,159221
1710,female,172490
1720,male,237754
1720,female,228431
1730,male,346195
1730,female,283250
1740,male,461837
1740,female,443726
1750,male,620503
1750,female,550257
1760,male,796813
1760,female,796813
1770,male,1095519
1770,female,1052557
1780,male,1362381
1780,female,1417988
1790,male,2082483
1790,female,1846731
1800,male,2618316
1800,female,2618316
1810,male,3837137
1810,female,3402744
1820,male,4337304
1820,female,5301149
1830,male,7076311
1830,female,5789709
1840,male,9388199
1840,female,7681254
1850,male,10668263
1850,female,12523613
1860,male,15407227
1860,female,16036094
1870,male,18893602
1870,female,19664769
1880,male,26660524
1880,female,22710816
1890,male,32119681
1890,female,30860085
1900,male,40392449
1900,female,35819719
1910,male,50725692
1910,female,41502839
1920,male,50890353
1920,female,55131215
1930,male,55441197
1930,female,67761463
1940,male,66082565
1940,female,66082565
1950,male,75662899
1950,female,75662899
1960,male,86075124
1960,female,93248051
1970,male,109734440
1970,female,93477486
1980,male,108741986
1980,female,117803819
1990,male,136790430
1990,female,111919443
2000,male,129454077
2000,female,151967829
2010,male,157460221
2010,female,151285310
