hospitalID,nursesCommunicateWell,doctorsCommunicateWell,receivedImmediateHelp,painManagedByTreatment,staffExplainedMedications,bathroomsAlwaysClean,givenInformationAboutRecovery,rateHospitalPositively
10001,0.76,0.84,0.58,0.68,0.63,0.70,0.84,0.71
10005,0.83,0.89,0.73,0.77,0.73,0.69,0.87,0.75
10006,0.75,0.79,0.58,0.65,0.57,0.56,0.80,0.54
10007,0.70,0.88,0.63,0.65,0.66,0.72,0.79,0.63
10008,0.77,0.93,0.65,0.77,0.62,0.69,0.81,0.64
10011,0.77,0.82,0.62,0.68,0.60,0.60,0.85,0.72
10012,0.80,0.83,0.65,0.69,0.58,0.66,0.86,0.71
10016,0.75,0.82,0.61,0.70,0.60,0.62,0.85,0.70
10018,0.98,0.94,0.98,0.93,0.79,0.79,0.80,0.93
10019,0.80,0.85,0.69,0.70,0.63,0.70,0.87,0.74
10021,0.77,0.81,0.63,0.68,0.61,0.70,0.82,0.63
10022,0.88,0.92,0.81,0.76,0.78,0.76,0.93,0.83
10023,0.78,0.83,0.62,0.70,0.63,0.64,0.84,0.70
10024,0.79,0.85,0.64,0.74,0.66,0.68,0.84,0.73
10025,0.75,0.86,0.62,0.68,0.60,0.63,0.83,0.63
10029,0.82,0.87,0.70,0.75,0.70,0.73,0.88,0.78
10032,0.76,0.79,0.67,0.73,0.62,0.75,0.82,0.64
10033,0.82,0.82,0.68,0.74,0.67,0.71,0.85,0.81
10034,0.88,0.90,0.81,0.76,0.72,0.82,0.85,0.78
10035,0.81,0.87,0.71,0.76,0.65,0.73,0.86,0.74
10036,0.78,0.87,0.67,0.68,0.66,0.67,0.85,0.67
10038,0.70,0.81,0.50,0.58,0.55,0.68,0.81,0.61
10039,0.79,0.82,0.66,0.72,0.67,0.72,0.86,0.75
10040,0.80,0.81,0.66,0.73,0.64,0.68,0.85,0.72
10044,0.87,0.87,0.81,0.79,0.80,0.88,0.87,0.79
10045,0.91,0.94,0.83,0.80,0.78,0.82,0.90,0.86
10046,0.68,0.75,0.50,0.59,0.54,0.63,0.73,0.56
10047,0.85,0.85,0.72,0.69,0.73,0.80,0.82,0.65
10049,0.80,0.85,0.67,0.72,0.65,0.69,0.86,0.67
10051,0.80,0.91,0.74,0.71,0.63,0.77,0.80,0.60
10052,0.77,0.86,0.69,0.68,0.57,0.74,0.85,0.66
10054,0.74,0.78,0.66,0.63,0.58,0.73,0.79,0.62
10055,0.81,0.84,0.64,0.73,0.70,0.69,0.88,0.77
10056,0.80,0.85,0.67,0.73,0.64,0.60,0.86,0.78
10058,0.83,0.82,0.64,0.69,0.95,0.64,0.79,0.64
10059,0.82,0.94,0.64,0.67,0.62,0.71,0.82,0.65
10061,0.77,0.86,0.63,0.72,0.64,0.70,0.82,0.68
10062,0.78,0.86,0.67,0.70,0.62,0.70,0.84,0.63
10065,0.84,0.87,0.73,0.77,0.73,0.76,0.84,0.78
10066,0.72,0.89,0.53,0.44,0.54,0.51,0.82,0.43
10069,0.79,0.82,0.64,0.72,0.66,0.73,0.85,0.71
10073,0.82,0.91,0.73,0.76,0.72,0.74,0.89,0.75
10078,0.76,0.82,0.63,0.70,0.59,0.66,0.83,0.70
10079,0.82,0.83,0.70,0.73,0.67,0.75,0.89,0.74
10083,0.82,0.85,0.71,0.78,0.67,0.75,0.89,0.75
10085,0.81,0.86,0.67,0.73,0.65,0.70,0.87,0.72
10086,0.81,0.88,0.65,0.71,0.68,0.70,0.88,0.73
10087,0.79,0.82,0.62,0.70,0.64,0.67,0.84,0.71
10089,0.77,0.82,0.63,0.66,0.62,0.71,0.83,0.69
10090,0.74,0.81,0.63,0.67,0.61,0.63,0.84,0.68
10091,0.76,0.87,0.62,0.68,0.54,0.66,0.76,0.55
