planetName,discoveryMethod,planetsInSystem,orbitalPeriod,orbitalSemiMajorAxis,orbitalEccentricity,planetDensity,orbitalInclination,rightAscension,Declination,distanceParsecs,vBand,stellarTemperature,solarMass,solarRadii,periastronDays,planetEarthMasses,planetEarthMassSinI,planetEarthRadii,planetSolarRadii,stellarRadialVelocity,spectralType,stellarLuminosity,stellarDensity
4 UMa b,Radial Velocity,1,269.3,0.87,0.432,,,130.053406,64.327934,77.4,4.61,4415,1.23,18.11,2452987.394,,2256.5,,,,5.1,,
6 Lyn b,Radial Velocity,1,874.774,2.18,0.059,,,97.696281,58.162632,56.95,5.88,4978,1.7,5.2,2454024.5,,702.37,,,,5,1.176,
7 CMa b,Radial Velocity,1,763,1.9,0.14,,,99.17099,-19.255878,19.84,3.92,4792,1.52,2.3,2455520,,826.3,,,,5.1,1.053,
11 Com b,Radial Velocity,1,326.03,1.29,0.231,,,185.179276,17.792868,110.62,4.74,4742,2.7,19,2452899.6,,6165.6,,,,4.8,2.243,
11 UMi b,Radial Velocity,1,516.22,1.54,0.08,,,229.274536,71.823898,119.47,5.016,4340,1.8,24.08,2452861.04,,3337.07,,,,5.4,,
14 And b,Radial Velocity,1,185.84,0.83,0,,,352.822571,39.236198,76.39,5.22,4813,2.2,11,2452861.4,,1525.5,,,,5,1.763,
14 Her b,Radial Velocity,1,1773.4,2.77,0.369,,,242.601303,43.817646,18.15,6.605,5311,0.9,,2451372.7,,1474.67,,,,5,,
16 Cyg B b,Radial Velocity,1,798.5,1.681,0.681,,,295.466553,50.517525,21.41,6.2,5760,1,,2446549.1,533.93,,,,-28.1,4.25,,
18 Del b,Radial Velocity,1,993.3,2.6,0.08,,,314.608063,10.839286,73.1,5.506,4979,2.3,8.5,2451672,,3273.5,,,,4.6,1.602,
24 Sex b,Radial Velocity,2,452.8,1.333,0.09,,,155.86821,-0.902244,74.79,6.441,5098,1.54,4.9,2454762,,632.46,,,,5,1.164,
