state,totalPopulation,medianAge,under18,over18,householders,parents,households,avgFamilySize,married,divorced,noHighSchoolDiploma,highSchoolDiploma,someCollege,bachelorsDegree,graduateDegree,HighSchoolOrHIgher,employed,unemployed,notInLaborForce,drive,carpool,publicTransit,walk,medianHouseholdIncome,meanHouseholdIncome,percentReceivingPublicAssistance,meanPublicAssistanceIncome,percentOnSNAP,medianFamilyIncome,perCapitaIncome,privateHealthInsured,publicHealthInsured,noHealthInsured,percentImpoverished,medianRent
Alabama,"4,803,488",38,"1,127,934","3,675,554",58.00%,30.40%,"1,837,823",3.14,48.60%,12.60%,17.00%,31.10%,29.40%,14.20%,8.30%,83.00%,52.40%,6.50%,40.70%,84.80%,9.90%,0.40%,1.20%,"42,054","60,633",1.80%,"2,668",16.10%,"53,027","23,101",65.20%,33.30%,14.10%,14.80%,698
Alaska,"723,120",33.7,"187,954","535,166",54.40%,32.30%,"253,718",3.32,48.80%,12.50%,8.40%,27.30%,36.80%,17.50%,10.00%,91.60%,62.00%,6.00%,29.10%,67.10%,12.90%,1.60%,7.60%,"68,818","81,048",6.40%,"4,148",10.70%,"80,137","32,133",63.70%,24.90%,20.00%,7.20%,"1,080"
Arizona,"6,477,128",36.2,"1,623,588","4,853,540",54.90%,30.50%,"2,357,799",3.3,47.90%,12.40%,14.30%,24.60%,34.40%,17.00%,9.70%,85.70%,53.60%,6.60%,39.50%,76.30%,11.50%,1.90%,2.10%,"48,307","65,673",2.60%,"3,701",13.90%,"57,252","24,602",59.70%,34.40%,17.10%,13.40%,878
Arkansas,"2,936,822",37.5,"711,615","2,225,207",59.10%,29.40%,"1,129,845",3.09,51.10%,13.00%,16.30%,35.10%,28.40%,13.40%,6.90%,83.70%,54.10%,5.40%,40.20%,82.30%,11.00%,0.50%,1.80%,"40,104","56,505",2.40%,"3,347",14.80%,"50,131","21,756",58.80%,36.20%,16.90%,14.50%,653
California,"37,686,586",35.4,"9,265,359","28,421,227",50.30%,32.30%,"12,474,950",3.55,46.50%,9.70%,18.90%,20.80%,29.80%,19.40%,11.10%,81.10%,55.90%,7.70%,36.00%,73.30%,11.20%,5.20%,2.70%,"59,368","83,419",4.10%,"5,537",8.30%,"67,458","28,576",60.30%,29.70%,18.20%,12.30%,"1,205"
Colorado,"5,117,453",36.2,"1,228,942","3,888,511",59.00%,29.00%,"1,977,737",3.13,51.00%,12.00%,9.80%,22.40%,31.00%,23.50%,13.40%,90.20%,62.10%,6.10%,30.90%,75.10%,9.80%,3.10%,3.10%,"56,837","75,625",2.20%,"3,753",8.50%,"71,263","30,377",69.30%,25.00%,15.20%,9.20%,920
Connecticut,"3,584,561",40.2,"804,610","2,779,951",58.20%,30.80%,"1,355,973",3.16,48.50%,10.70%,10.80%,27.90%,25.10%,20.30%,15.90%,89.20%,60.70%,7.00%,32.00%,78.90%,8.30%,4.60%,3.00%,"67,544","97,431",3.20%,"4,524",11.10%,"85,544","36,956",73.10%,29.30%,9.00%,7.70%,"1,036"
Delaware,"908,351",39,"205,214","703,137",56.20%,29.90%,"334,228",3.2,47.40%,11.20%,12.30%,31.90%,27.10%,17.10%,11.50%,87.70%,57.80%,5.80%,36.00%,80.90%,8.90%,3.00%,2.20%,"59,144","76,137",2.70%,"3,173",12.50%,"71,269","29,171",70.50%,34.00%,9.40%,8.00%,980
District of Columbia,"618,777",33.7,"105,168","513,609",55.10%,23.50%,"261,567",3.3,25.10%,9.50%,12.30%,19.00%,17.10%,23.10%,28.60%,87.70%,59.50%,7.70%,32.20%,34.00%,5.90%,38.70%,11.90%,"64,610","105,311",4.10%,"4,102",13.80%,"80,081","44,670",69.90%,35.00%,6.80%,14.60%,"1,236"
Florida,"19,081,930",41,"3,998,537","15,083,393",55.90%,28.80%,"7,120,273",3.25,46.50%,13.00%,14.00%,30.00%,29.80%,16.80%,9.40%,86.00%,52.20%,7.40%,40.10%,79.60%,9.80%,2.10%,1.60%,"45,637","64,747",2.10%,"3,540",13.90%,"55,260","25,508",57.90%,33.30%,20.70%,12.30%,971
