state,totalPopulation,medianAge,under18,over18,householders,parents,households,avgFamilySize,married,divorced,noHighSchoolDiploma,highSchoolDiploma,someCollege,bachelorsDegree,graduateDegree,HighSchoolOrHigher,employed,unemployed,notInLaborForce,drive,carpool,publicTransit,walk,medianHouseholdIncome,meanHouseholdIncome,percentReceivingPublicAssistance,meanPublicAssistanceIncome,percentOnSNAP,medianFamilyIncome,perCapitaIncome,privateHealthInsured,publicHealthInsured,noHealthInsured,percentImpoverished,medianRent
Alabama,4803488.00,38.00,1127934.00,3675554.00,0.58,0.30,1837823.00,3.14,0.49,0.13,0.17,0.31,0.29,0.14,0.08,0.83,0.52,0.07,0.41,0.85,0.10,0.00,0.01,42054.00,60633.00,0.02,2668.00,0.16,53027.00,23101.00,0.65,0.33,0.14,0.15,698.00
Alaska,723120.00,33.70,187954.00,535166.00,0.54,0.32,253718.00,3.32,0.49,0.13,0.08,0.27,0.37,0.18,0.10,0.92,0.62,0.06,0.29,0.67,0.13,0.02,0.08,68818.00,81048.00,0.06,4148.00,0.11,80137.00,32133.00,0.64,0.25,0.20,0.07,1080.00
Arizona,6477128.00,36.20,1623588.00,4853540.00,0.55,0.31,2357799.00,3.30,0.48,0.12,0.14,0.25,0.34,0.17,0.10,0.86,0.54,0.07,0.40,0.76,0.12,0.02,0.02,48307.00,65673.00,0.03,3701.00,0.14,57252.00,24602.00,0.60,0.34,0.17,0.13,878.00
Arkansas,2936822.00,37.50,711615.00,2225207.00,0.59,0.29,1129845.00,3.09,0.51,0.13,0.16,0.35,0.28,0.13,0.07,0.84,0.54,0.05,0.40,0.82,0.11,0.01,0.02,40104.00,56505.00,0.02,3347.00,0.15,50131.00,21756.00,0.59,0.36,0.17,0.15,653.00
California,37686586.00,35.40,9265359.00,28421227.00,0.50,0.32,12474950.00,3.55,0.47,0.10,0.19,0.21,0.30,0.19,0.11,0.81,0.56,0.08,0.36,0.73,0.11,0.05,0.03,59368.00,83419.00,0.04,5537.00,0.08,67458.00,28576.00,0.60,0.30,0.18,0.12,1205.00
Colorado,5117453.00,36.20,1228942.00,3888511.00,0.59,0.29,1977737.00,3.13,0.51,0.12,0.10,0.22,0.31,0.24,0.13,0.90,0.62,0.06,0.31,0.75,0.10,0.03,0.03,56837.00,75625.00,0.02,3753.00,0.09,71263.00,30377.00,0.69,0.25,0.15,0.09,920.00
Connecticut,3584561.00,40.20,804610.00,2779951.00,0.58,0.31,1355973.00,3.16,0.49,0.11,0.11,0.28,0.25,0.20,0.16,0.89,0.61,0.07,0.32,0.79,0.08,0.05,0.03,67544.00,97431.00,0.03,4524.00,0.11,85544.00,36956.00,0.73,0.29,0.09,0.08,1036.00
Delaware,908351.00,39.00,205214.00,703137.00,0.56,0.30,334228.00,3.20,0.47,0.11,0.12,0.32,0.27,0.17,0.12,0.88,0.58,0.06,0.36,0.81,0.09,0.03,0.02,59144.00,76137.00,0.03,3173.00,0.13,71269.00,29171.00,0.71,0.34,0.09,0.08,980.00
District of Columbia,618777.00,33.70,105168.00,513609.00,0.55,0.24,261567.00,3.30,0.25,0.10,0.12,0.19,0.17,0.23,0.29,0.88,0.60,0.08,0.32,0.34,0.06,0.39,0.12,64610.00,105311.00,0.04,4102.00,0.14,80081.00,44670.00,0.70,0.35,0.07,0.15,1236.00
Florida,19081930.00,41.00,3998537.00,15083393.00,0.56,0.29,7120273.00,3.25,0.47,0.13,0.14,0.30,0.30,0.17,0.09,0.86,0.52,0.07,0.40,0.80,0.10,0.02,0.02,45637.00,64747.00,0.02,3540.00,0.14,55260.00,25508.00,0.58,0.33,0.21,0.12,971.00
